Wall time,Step,Value
1590787264.140426,0,0.6151202917098999
1590787640.366189,1,0.3824121952056885
1590788027.806733,2,0.3271329402923584
1590788431.273051,3,0.2966572344303131
1590788838.845918,4,0.26675909757614136
1590789250.565448,5,0.2382577359676361
1590789656.777073,6,0.21336054801940918
1590790061.729618,7,0.18817757070064545
1590790465.155973,8,0.161002516746521
1590790873.558587,9,0.1321023404598236
1590791283.229498,10,0.11859948933124542
1590791695.915564,11,0.10498548299074173
1590792110.221203,12,0.0911378338932991
1590792461.185287,13,0.09300468116998672
1590792814.533011,14,0.08143024891614914
1590793219.667975,15,0.08930856734514236
1590793612.035696,16,0.07860267162322998
1590794019.904782,17,0.08670463413000107
1590794429.878089,18,0.06728485226631165
1590794839.191795,19,0.07653438299894333
1590795252.742292,20,0.07292839884757996
1590795607.251831,21,0.059234995394945145
1590796006.882639,22,0.07865508645772934
1590796383.933517,23,0.07539618015289307
1590796741.909957,24,0.06468267738819122
1590797148.682375,25,0.07132816314697266
1590797555.480691,26,0.06294601410627365
1590797966.854697,27,0.06568168103694916
1590798380.419147,28,0.0704398974776268
1590798731.26297,29,0.0730951651930809
1590799084.061197,30,0.0545724555850029
1590799441.024716,31,0.058155357837677
1590799803.159559,32,0.06671322882175446
1590800208.292814,33,0.06333765387535095
1590800616.093342,34,0.05950390174984932
1590801025.048737,35,0.07334204763174057
1590801438.900844,36,0.07309278845787048
1590801805.953156,37,0.05729507654905319
1590802184.287537,38,0.05563027411699295
1590802589.339747,39,0.05968637764453888
1590802995.798303,40,0.07139471173286438
1590803385.767913,41,0.0651732087135315
1590803794.119378,42,0.062361713498830795
1590804204.480925,43,0.05397220328450203
1590804621.286751,44,0.05593440309166908
1590804974.718276,45,0.06838324666023254
1590805326.170413,46,0.056107524782419205
1590805679.534506,47,0.05231219530105591
1590806076.511921,48,0.0600164458155632
1590806468.6551,49,0.05605078116059303
1590806878.706685,50,0.06071702763438225
1590807290.203995,51,0.05876138061285019
