Wall time,Step,Value
1590116606.800063,0,0.7634735107421875
1590116985.553496,1,0.6760861873626709
1590117368.649893,2,0.5312756299972534
1590117731.534514,3,0.46162211894989014
1590118116.787789,4,0.43485143780708313
1590118480.757362,5,0.4207558333873749
1590118858.091474,6,0.41450878977775574
1590119224.651904,7,0.4043423533439636
1590119590.833637,8,0.3906297981739044
1590120008.690195,9,0.3922681212425232
1590120412.233172,10,0.38650190830230713
1590120823.078077,11,0.3812481760978699
1590121264.992554,12,0.3759211599826813
1590121618.734051,13,0.37422695755958557
1590122032.629019,14,0.37135085463523865
1590122395.604567,15,0.37203386425971985
1590122806.597559,16,0.3705134093761444
1590123165.46872,17,0.360366553068161
1590123576.847988,18,0.36641475558280945
1590124010.422643,19,0.350808322429657
1590124428.400689,20,0.35278162360191345
1590124788.447728,21,0.35879337787628174
1590125164.453967,22,0.3537169098854065
1590125537.042466,23,0.3482608199119568
1590125960.287397,24,0.3482688069343567
1590126347.400995,25,0.3469253480434418
1590126761.184027,26,0.3481983244419098
1590127194.230998,27,0.34540924429893494
1590127613.418128,28,0.3478277623653412
1590127988.730378,29,0.33693382143974304
1590128398.266935,30,0.34716832637786865
1590128754.190392,31,0.3432338535785675
1590129131.92917,32,0.3404952883720398
1590129538.312314,33,0.3408183455467224
1590129971.501645,34,0.34287023544311523
1590130383.977407,35,0.33347222208976746
1590130804.073707,36,0.33641791343688965
1590131171.368126,37,0.33334144949913025
1590131526.583712,38,0.32973071932792664
1590131898.111201,39,0.3372310698032379
1590132251.60966,40,0.32707133889198303
1590132642.429462,41,0.32083937525749207
1590132997.505864,42,0.33012154698371887
1590133352.825406,43,0.3329732418060303
1590133725.624256,44,0.33065301179885864
1590134111.341391,45,0.33307912945747375
1590134464.33728,46,0.32715481519699097
1590134820.09838,47,0.32755377888679504
1590135172.350068,48,0.3245084881782532
1590135527.056017,49,0.3290548622608185
1590135916.400259,50,0.3337235748767853
1590136313.229752,51,0.32742974162101746
1590136722.499057,52,0.33083388209342957
1590137068.78953,53,0.3224220275878906
1590137414.675442,54,0.32758060097694397
1590137764.93447,55,0.31911200284957886
1590138124.14238,56,0.3310609757900238
1590138470.488075,57,0.31651774048805237
1590138825.11992,58,0.32140153646469116
1590139179.1209,59,0.3204266130924225
1590139532.16544,60,0.31918928027153015
1590139884.730815,61,0.32177016139030457
1590140239.316173,62,0.3236389756202698
1590140582.143701,63,0.32146233320236206
1590140929.450102,64,0.31861817836761475
1590141278.202319,65,0.32738345861434937
1590141625.926444,66,0.3158967196941376
1590141980.564941,67,0.31394702196121216
1590142378.263877,68,0.3138772249221802
