Wall time,Step,Value
1590116606.801301,0,0.527808427810669
1590116985.554348,1,0.6450011134147644
1590117368.650837,2,0.7851467728614807
1590117731.535313,3,0.8212315440177917
1590118116.788578,4,0.8344736099243164
1590118480.758178,5,0.8460604548454285
1590118858.092741,6,0.8436327576637268
1590119224.652731,7,0.8513573408126831
1590119590.834478,8,0.8599646687507629
1590120008.6914,9,0.8565438389778137
1590120412.233973,10,0.861399233341217
1590120823.078921,11,0.8588612079620361
1590121264.993351,12,0.8661443591117859
1590121618.734873,13,0.8676892518997192
1590122032.630082,14,0.8672478199005127
1590122395.605389,15,0.867468535900116
1590122806.598383,16,0.8701169490814209
1590123165.469524,17,0.8705583810806274
1590123576.84879,18,0.8700066208839417
1590124010.4238,19,0.8788346648216248
1590124428.401474,20,0.8769587278366089
1590124788.448886,21,0.8732067942619324
1590125164.454791,22,0.8768483996391296
1590125537.04326,23,0.8796071410179138
1590125960.28848,24,0.8772897720336914
1590126347.402063,25,0.8802692294120789
1590126761.184911,26,0.8830280303955078
1590127194.231901,27,0.8843522667884827
1590127613.418954,28,0.8826969861984253
1590127988.731216,29,0.8872213363647461
1590128398.267729,30,0.8847936391830444
1590128754.191318,31,0.8841315507888794
1590129131.930077,32,0.8853453993797302
1590129538.313116,33,0.8863385319709778
1590129971.502667,34,0.8877730965614319
1590130383.978228,35,0.8919664621353149
1590130804.074519,36,0.889980137348175
1590131171.368925,37,0.8911939859390259
1590131526.584519,38,0.8925182223320007
1590131898.112031,39,0.8911939859390259
1590132251.610647,40,0.8982564806938171
1590132642.430461,41,0.9013462662696838
1590132997.506925,42,0.8951666355133057
1590133352.82623,43,0.8920767903327942
1590133725.625175,44,0.8981460928916931
1590134111.34221,45,0.8988081812858582
1590134464.338379,46,0.8990288972854614
1590134820.099765,47,0.9006841778755188
1590135172.351023,48,0.9038843512535095
1590135527.056986,49,0.9004634618759155
1590135916.401152,50,0.9026705026626587
1590136313.230652,51,0.9039946794509888
1590136722.500178,52,0.9020084142684937
1590137068.790534,53,0.9026705026626587
1590137414.67624,54,0.903442919254303
1590137764.935425,55,0.9082983732223511
1590138124.143173,56,0.9005738496780396
1590138470.488877,57,0.9096226096153259
1590138825.120825,58,0.9078570008277893
1590139179.121797,59,0.910395085811615
1590139532.166565,60,0.9091811776161194
1590139884.731613,61,0.9096226096153259
1590140239.317185,62,0.9056499600410461
1590140582.144797,63,0.9090708494186401
1590140929.451004,64,0.9132641553878784
1590141278.203195,65,0.9079673290252686
1590141625.92769,66,0.9113882184028625
1590141980.565797,67,0.9164643287658691
1590142378.264844,68,0.9087398052215576
